nohup: ignoring input
03:58:21 │ INFO     │ Loaded XGBoost degradation model
03:58:21 │ INFO     │ Circuits: ['albert_park', 'bahrain', 'baku', 'barcelona', 'cota', 'hungaroring', 'imola', 'interlagos', 'jeddah', 'las_vegas', 'lusail', 'mexico', 'miami', 'monaco', 'montreal', 'monza', 'shanghai', 'silverstone', 'singapore', 'spa', 'spielberg', 'suzuka', 'yas_marina', 'zandvoort']
03:58:21 │ INFO     │ Drivers: 20
03:58:21 │ INFO     │ Sims per combo: 50
03:58:21 │ INFO     │ Total combos: 9600
03:58:21 │ INFO     │ ============================================================
05:39:02 │ INFO     │   400/400 (100%) — 1155s elapsed, ~0s remaining
05:39:02 │ INFO     │   ✓ Hungarian Grand Prix: 400 combos in 1155s
05:39:02 │ INFO     │   Saved: results/scenarios/scenarios_hungaroring.json
05:39:02 │ INFO     │ ============================================================
05:39:02 │ INFO     │   PRECOMPUTING: Emilia Romagna Grand Prix
05:39:02 │ INFO     │   20 drivers × 20 positions = 400 combos
05:39:02 │ INFO     │ ============================================================
05:39:53 │ INFO     │   20/400 (5%) — 51s elapsed, ~975s remaining
05:40:45 │ INFO     │   40/400 (10%) — 103s elapsed, ~924s remaining
05:41:36 │ INFO     │   60/400 (15%) — 154s elapsed, ~870s remaining
05:42:27 │ INFO     │   80/400 (20%) — 205s elapsed, ~819s remaining
05:43:18 │ INFO     │   100/400 (25%) — 256s elapsed, ~768s remaining
05:44:09 │ INFO     │   120/400 (30%) — 307s elapsed, ~716s remaining
05:45:00 │ INFO     │   140/400 (35%) — 358s elapsed, ~665s remaining
05:45:52 │ INFO     │   160/400 (40%) — 410s elapsed, ~615s remaining
05:46:44 │ INFO     │   180/400 (45%) — 462s elapsed, ~564s remaining
05:47:35 │ INFO     │   200/400 (50%) — 513s elapsed, ~513s remaining
05:48:26 │ INFO     │   220/400 (55%) — 563s elapsed, ~461s remaining
05:49:18 │ INFO     │   240/400 (60%) — 616s elapsed, ~410s remaining
05:50:09 │ INFO     │   260/400 (65%) — 667s elapsed, ~359s remaining
05:51:02 │ INFO     │   280/400 (70%) — 719s elapsed, ~308s remaining
05:51:53 │ INFO     │   300/400 (75%) — 771s elapsed, ~257s remaining
05:52:44 │ INFO     │   320/400 (80%) — 822s elapsed, ~205s remaining
05:53:36 │ INFO     │   340/400 (85%) — 874s elapsed, ~154s remaining
05:54:28 │ INFO     │   360/400 (90%) — 926s elapsed, ~103s remaining
05:55:20 │ INFO     │   380/400 (95%) — 977s elapsed, ~51s remaining
05:56:11 │ INFO     │   400/400 (100%) — 1029s elapsed, ~0s remaining
05:56:11 │ INFO     │   ✓ Emilia Romagna Grand Prix: 400 combos in 1029s
05:56:11 │ INFO     │   Saved: results/scenarios/scenarios_imola.json
05:56:11 │ INFO     │ ============================================================
05:56:11 │ INFO     │   PRECOMPUTING: São Paulo Grand Prix
05:56:11 │ INFO     │   20 drivers × 20 positions = 400 combos
05:56:11 │ INFO     │ ============================================================
05:57:08 │ INFO     │   20/400 (5%) — 57s elapsed, ~1077s remaining
05:58:05 │ INFO     │   40/400 (10%) — 114s elapsed, ~1023s remaining
05:59:01 │ INFO     │   60/400 (15%) — 170s elapsed, ~962s remaining
05:59:57 │ INFO     │   80/400 (20%) — 226s elapsed, ~904s remaining
06:00:54 │ INFO     │   100/400 (25%) — 283s elapsed, ~848s remaining
06:01:51 │ INFO     │   120/400 (30%) — 340s elapsed, ~793s remaining
06:02:48 │ INFO     │   140/400 (35%) — 397s elapsed, ~737s remaining
06:03:44 │ INFO     │   160/400 (40%) — 452s elapsed, ~679s remaining
06:04:40 │ INFO     │   180/400 (45%) — 508s elapsed, ~621s remaining
06:05:37 │ INFO     │   200/400 (50%) — 566s elapsed, ~566s remaining
06:06:33 │ INFO     │   220/400 (55%) — 622s elapsed, ~509s remaining
06:07:31 │ INFO     │   240/400 (60%) — 680s elapsed, ~453s remaining
06:08:28 │ INFO     │   260/400 (65%) — 737s elapsed, ~397s remaining
06:09:24 │ INFO     │   280/400 (70%) — 793s elapsed, ~340s remaining
06:10:22 │ INFO     │   300/400 (75%) — 851s elapsed, ~284s remaining
06:11:19 │ INFO     │   320/400 (80%) — 907s elapsed, ~227s remaining
